report_number,collision_date,collision_time,primary_road,secondary_road,collision_day_of_week,number_of_parties,primary_collision_factor,hit_and_run,collision_type,involved_with,pedestrian_action,reporting_district,police_beat,violation,timestamp,intersection,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip
2023-0008494,2023-09-27,22:20:00,CASTRO ST,HENSLEY ST,Wednesday,,Unknown,Misdemeanor,Hit Object,Fixed Object,No Pedestrian Involved,CENTRAL,1,,2023-09-27 22:20:00,"CASTRO ST AND HENSLEY ST, RICHMOND, CA",37.946959,-122.371685,0.74,intersection,Richmond,CA,Contra Costa County,94801
2023-0008499,2023-09-28,08:32:00,CARLSON BLVD,I-80 E,Thursday,,Traffic Signals and Signs,Misdemeanor,Head-On,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21453(a),2023-09-28 08:32:00,"CARLSON BLVD AND I-80 E, RICHMOND, CA",37.910637,-122.31674,0.76,intersection,Richmond,CA,Contra Costa County,94804
2023-0008504,2023-09-28,12:45:00,PANAMA AVE,SAN PABLO AVE,Thursday,,Driving Under Influence,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,3,23152(a),2023-09-28 12:45:00,"PANAMA AVE AND SAN PABLO AVE, RICHMOND, CA",37.905843,-122.310793,1.0,street_center,Richmond,CA,Contra Costa County,94804
2023-0008518,2023-09-28,19:59:00,MACDONALD AVE,36TH ST,Thursday,,Not Stated,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21801(a),2023-09-28 19:59:00,"MACDONALD AVE AND 36TH ST, RICHMOND, CA",37.93397,-122.335159,1.0,intersection,Richmond,CA,Contra Costa County,94805
2023-0008540,2023-09-29,13:18:00,CUTTING BLVD,S 29TH ST,Friday,,Following Too Closely,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21703,2023-09-29 13:18:00,"CUTTING BLVD AND S 29TH ST, RICHMOND, CA",37.925177,-122.342004,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008561,2023-09-30,11:28:00,SAN PABLO AVE,HILLTOP DR,Saturday,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,,8,22350,2023-09-30 11:28:00,"SAN PABLO AVE AND HILLTOP DR, RICHMOND, CA",37.987184,-122.339643,0.66,intersection,San Pablo,CA,Contra Costa County,94806
2023-0008570,2023-09-30,18:36:00,MACDONALD AVE,24TH ST,Saturday,,Improper Turning,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22107,2023-09-30 18:36:00,"MACDONALD AVE AND 24TH ST, RICHMOND, CA",37.935566,-122.346346,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008572,2023-09-30,22:18:00,CARLSON BLVD,CUTTING BLVD,Saturday,,Traffic Signals and Signs,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21453(a),2023-09-30 22:18:00,"CARLSON BLVD AND CUTTING BLVD, RICHMOND, CA",37.925173,-122.338017,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008575,2023-10-01,01:47:00,S 23RD ST,FLORIDA AVE,Sunday,,Unsafe Speed,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22350,2023-10-01 01:47:00,"S 23RD ST AND FLORIDA AVE, RICHMOND, CA",37.929631,-122.347643,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008580,2023-10-01,06:10:00,BARRETT AVE,22ND ST,Sunday,,Traffic Signals and Signs,No,Broadside,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,4,22450(a),2023-10-01 06:10:00,"BARRETT AVE AND 22ND ST, RICHMOND, CA",37.938468,-122.348544,1.0,intersection,Richmond,CA,Contra Costa County,94801
2023-0008594,2023-10-01,14:42:00,ROOSEVELT AVE,11TH ST,Sunday,,Driving Under Influence,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,23152(b),2023-10-01 14:42:00,"ROOSEVELT AVE AND 11TH ST, RICHMOND, CA",37.939962,-122.359028,1.0,intersection,Richmond,CA,Contra Costa County,94801
2023-0008612,2023-10-02,10:09:00,KLOSE WAY,BLUME DR,Monday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,22450(a),2023-10-02 10:09:00,"KLOSE WAY AND BLUME DR, RICHMOND, CA",38.798791,-120.820769,0.86,place,Kelsey,CA,El Dorado County,95643
2023-0008615,2023-10-02,11:21:00,VIRGINIA AVE,S 9TH ST,Monday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,22450(a),2023-10-02 11:21:00,"VIRGINIA AVE AND S 9TH ST, RICHMOND, CA",37.926622,-122.361033,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008638,2023-10-03,01:43:00,CARLSON BLVD,CUTTING BLVD,Tuesday,,Unsafe Lane Change,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21658(a),2023-10-03 01:43:00,"CARLSON BLVD AND CUTTING BLVD, RICHMOND, CA",37.925173,-122.338017,1.0,intersection,Richmond,CA,Contra Costa County,94804
2023-0008642,2023-10-03,06:45:00,BARRETT AVE,20TH ST,Tuesday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21800(a),2023-10-03 06:45:00,"BARRETT AVE AND 20TH ST, RICHMOND, CA",37.93846,-122.350526,1.0,intersection,Richmond,CA,Contra Costa County,94801
