report_number,collision_date,collision_time,primary_road,secondary_road,collision_day_of_week,number_of_parties,primary_collision_factor,hit_and_run,collision_type,involved_with,pedestrian_action,reporting_district,police_beat,violation,timestamp,intersection,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip
2022-0003818,2022-05-06,03:07:00,ESMOND AVE,37TH ST,Friday,,Improper Turning,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,,7,22107,2022-05-06 03:07:00,"ESMOND AVE AND 37TH ST, RICHMOND, CA",37.945166,-122.33192,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0003830,2022-05-06,16:47:00,CARLSON BLVD,CUTTING BLVD,Friday,,Traffic Signals and Signs,No,Head-On,Bicycle,No Pedestrian Involved,SOUTHERN,2,21453(a),2022-05-06 16:47:00,"CARLSON BLVD AND CUTTING BLVD, RICHMOND, CA",37.925173,-122.338017,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0003858,2022-05-07,22:31:00,AMADOR ST,SOLANO AVE,Saturday,,Driving Under Influence,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,23152(a),2022-05-07 22:31:00,"AMADOR ST AND SOLANO AVE, RICHMOND, CA",37.943584,-122.323217,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0003862,2022-05-08,01:30:00,CARLSON BLVD,FLORIDA AVE,Sunday,,Unsafe Lane Change,No,Head-On,Fixed Object,No Pedestrian Involved,SOUTHERN,3,21658(a),2022-05-08 01:30:00,"CARLSON BLVD AND FLORIDA AVE, RICHMOND, CA",37.929377,-122.343771,0.98,intersection,Richmond,CA,Contra Costa County,94804
2022-0003863,2022-05-08,01:28:00,MACDONALD AVE,1ST ST,Sunday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,,6,22107,2022-05-08 01:28:00,"MACDONALD AVE AND 1ST ST, RICHMOND, CA",37.935696,-122.368678,0.9,intersection,Richmond,CA,Contra Costa County,94801
2022-0003873,2022-05-08,20:35:00,HILLTOP DR,SHANE DR,Sunday,,Improper Turning,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,22107,2022-05-08 20:35:00,"HILLTOP DR AND SHANE DR, RICHMOND, CA",37.977786,-122.333837,0.42,intersection,San Pablo,CA,Contra Costa County,94806
2022-0003876,2022-05-08,20:43:00,S 17TH ST,FLORIDA AVE,Sunday,,Unsafe Lane Change,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21658(a),2022-05-08 20:43:00,"S 17TH ST AND FLORIDA AVE, RICHMOND, CA",37.929404,-122.353051,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0003878,2022-05-07,21:30:00,CARL AVE,CARLSON BLVD,Saturday,,Following Too Closely,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,,3,21703,2022-05-07 21:30:00,"CARL AVE AND CARLSON BLVD, RICHMOND, CA",37.912502,-122.320305,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0003883,2022-05-09,12:10:00,NEVIN AVE,4TH ST,Monday,,Unknown,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,6,,2022-05-09 12:10:00,"NEVIN AVE AND 4TH ST, RICHMOND, CA",37.93683,-122.365667,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0003887,2022-05-09,16:15:00,MACDONALD AVE,32ND ST,Monday,,Following Too Closely,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21703,2022-05-09 16:15:00,"MACDONALD AVE AND 32ND ST, RICHMOND, CA",37.934467,-122.338663,0.91,intersection,Richmond,CA,Contra Costa County,94804
2022-0003895,2022-05-09,23:21:00,S 31ST ST,JULIGA WOODS ST,Monday,,Unsafe Speed,Misdemeanor,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,2,22350,2022-05-09 23:21:00,"S 31ST ST AND JULIGA WOODS ST, RICHMOND, CA",37.929847,-122.340519,1.0,street_center,Richmond,CA,Contra Costa County,94804
2022-0003898,2022-05-09,23:56:00,SAN PABLO AVE,RICHMOND PKWY,Monday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21461(a),2022-05-09 23:56:00,"SAN PABLO AVE AND RICHMOND PKWY, RICHMOND, CA",37.991132,-122.332457,0.97,intersection,San Pablo,CA,Contra Costa County,94806
2022-0003899,2022-05-10,02:43:00,DOVER AVE,20TH ST,Tuesday,,Improper Passing,No,Rear-End,Bicycle,No Pedestrian Involved,,22,21809(a),2022-05-10 02:43:00,"DOVER AVE AND 20TH ST, RICHMOND, CA",37.959184,-122.349617,1.0,intersection,San Pablo,CA,Contra Costa County,94806
2022-0003925,2022-05-10,17:23:00,S 37TH ST,CUTTING BLVD,Tuesday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21453(a),2022-05-10 17:23:00,"S 37TH ST AND CUTTING BLVD, RICHMOND, CA",37.925336,-122.334291,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0003937,2022-05-11,10:15:00,ISABEL ST,CONNECTING ROAD,Wednesday,,Following Too Closely,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21703,2022-05-11 10:15:00,"ISABEL ST AND CONNECTING ROAD, RICHMOND, CA",37.897965,-122.323391,1.0,street_center,Richmond,CA,Contra Costa County,94804
2022-0003951,2022-05-11,19:14:00,CENTER AVE,S 27TH ST,Wednesday,,Improper Turning,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,22107,2022-05-11 19:14:00,"CENTER AVE AND S 27TH ST, RICHMOND, CA",37.930202,-122.343631,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0003958,2022-05-12,06:38:00,WALL AVE,S 45TH ST,Thursday,,Auto R/W Violation,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21801(a),2022-05-12 06:38:00,"WALL AVE AND S 45TH ST, RICHMOND, CA",37.929338,-122.327248,0.92,intersection,Richmond,CA,Contra Costa County,94804
2022-0003997,2022-05-13,22:50:00,SAN PABLO AVE,RICHMOND PKWY,Friday,,Other Improper Driving,No,Hit Object,Other Object,No Pedestrian Involved,,8,,2022-05-13 22:50:00,"SAN PABLO AVE AND RICHMOND PKWY, RICHMOND, CA",37.991132,-122.332457,0.97,intersection,San Pablo,CA,Contra Costa County,94806
2022-0004001,2022-05-14,02:01:00,MOYERS RD,JOANN DR,Saturday,,Driving Under Influence,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,8,23152(b),2022-05-14 02:01:00,"MOYERS RD AND JOANN DR, RICHMOND, CA",37.970858,-122.326367,1.0,intersection,San Pablo,CA,Contra Costa County,94806
2022-0004008,2022-05-14,12:26:00,CUTTING BLVD,S 49TH ST,Saturday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,,3,21453(a),2022-05-14 12:26:00,"CUTTING BLVD AND S 49TH ST, RICHMOND, CA",37.925491,-122.32358,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004012,2022-05-14,15:08:00,SEAVIEW DR,SEACLIFF DR,Saturday,,Improper Turning,No,Hit Object,Other Object,No Pedestrian Involved,SOUTHERN,1,22107,2022-05-14 15:08:00,"SEAVIEW DR AND SEACLIFF DR, RICHMOND, CA",37.910319,-122.374465,0.94,intersection,Richmond,CA,Contra Costa County,94801
2022-0004022,2022-05-15,00:50:00,MCBRYDE AVE,23RD ST,Sunday,,Unsafe Lane Change,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21658(a),2022-05-15 00:50:00,"MCBRYDE AVE AND 23RD ST, RICHMOND, CA",37.947057,-122.347442,0.78,intersection,Richmond,CA,Contra Costa County,94804
2022-0004057,2022-05-05,19:00:00,HILLTOP MALL RD,KLOSE WAY,Thursday,,Unknown,No,Head-On,Fixed Object,No Pedestrian Involved,,8,,2022-05-05 19:00:00,"HILLTOP MALL RD AND KLOSE WAY, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0004074,2022-05-17,00:38:00,CARLSON BLVD,CARL AVE,Tuesday,,Improper Turning,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,,3,22107,2022-05-17 00:38:00,"CARLSON BLVD AND CARL AVE, RICHMOND, CA",37.912502,-122.320305,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004085,2022-05-17,11:00:00,SONOMA ST,MCBRYDE AVE,Tuesday,,Other Than Driver,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,7,,2022-05-17 11:00:00,"SONOMA ST AND MCBRYDE AVE, RICHMOND, CA",37.949581,-122.323152,0.8,intersection,Richmond,CA,Contra Costa County,94805
2022-0004116,2022-05-18,11:45:00,WRIGHT AVE,MARINA WAY S,Wednesday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21801(a),2022-05-18 11:45:00,"WRIGHT AVE AND MARINA WAY S, RICHMOND, CA",37.921177,-122.355902,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004118,2022-05-18,11:35:00,SAN PABLO AVE,CLINTON AVE,Wednesday,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22350,2022-05-18 11:35:00,"SAN PABLO AVE AND CLINTON AVE, RICHMOND, CA",37.940372,-122.32745,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0004139,2022-05-19,07:44:00,MARINA BAY PKWY,CUTTING BLVD,Thursday,,Traffic Signals and Signs,No,Head-On,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21453(c),2022-05-19 07:44:00,"MARINA BAY PKWY AND CUTTING BLVD, RICHMOND, CA",37.925193,-122.347665,0.93,intersection,Richmond,CA,Contra Costa County,94804
2022-0004140,2022-05-19,08:02:00,MARINA BAY PKWY,CUTTING BLVD,Thursday,,Other Than Driver,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,,2022-05-19 08:02:00,"MARINA BAY PKWY AND CUTTING BLVD, RICHMOND, CA",37.925193,-122.347665,0.93,intersection,Richmond,CA,Contra Costa County,94804
2022-0004160,2022-05-19,21:34:00,BAYVIEW AVE,CARLSON BLVD,Thursday,,Other Than Driver,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,1,,2022-05-19 21:34:00,"BAYVIEW AVE AND CARLSON BLVD, RICHMOND, CA",37.914144,-122.323517,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004167,2022-04-16,15:00:00,27TH ST,MACDONALD AVE,Saturday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,21453(a),2022-04-16 15:00:00,"27TH ST AND MACDONALD AVE, RICHMOND, CA",37.935068,-122.342945,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004175,2022-05-20,18:45:00,34TH ST,MACDONALD AVE,Friday,,Unknown,No,Head-On,Not Stated,Not Stated,NORTHERN,7,,2022-05-20 18:45:00,"34TH ST AND MACDONALD AVE, RICHMOND, CA",37.934224,-122.33695,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0004176,2022-05-20,18:20:00,MARINA BAY PKWY,REGATTA BLVD,Friday,,Unknown,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,,2022-05-20 18:20:00,"MARINA BAY PKWY AND REGATTA BLVD, RICHMOND, CA",37.91469,-122.344478,0.93,intersection,Richmond,CA,Contra Costa County,94804
2022-0004180,2022-05-20,22:22:00,RHEEM AVE,34TH ST,Friday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,,7,22450(a),2022-05-20 22:22:00,"RHEEM AVE AND 34TH ST, RICHMOND, CA",37.949868,-122.334554,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004181,2022-05-20,21:56:00,22ND ST,BISSELL AVE,Friday,,Unknown,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,,2022-05-20 21:56:00,"22ND ST AND BISSELL AVE, RICHMOND, CA",37.934129,-122.348574,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004183,2021-09-25,22:05:00,CLINTON AVE,26TH ST,Saturday,,Improper Turning,No,Head-On,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22107,2021-09-25 22:05:00,"CLINTON AVE AND 26TH ST, RICHMOND, CA",37.942256,-122.342543,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004190,2022-05-21,13:02:00,GRIFFIN DR,MCGLOTHEN WAY,Saturday,,Unsafe Speed,No,Head-On,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,8,22350,2022-05-21 13:02:00,"GRIFFIN DR AND MCGLOTHEN WAY, RICHMOND, CA",37.984859,-122.355773,0.5,intersection,San Pablo,CA,Contra Costa County,94806
2022-0004194,2022-05-21,22:06:00,RICHMOND PKWY,HILLTOP DR,Saturday,,Improper Turning,No,Hit Object,Fixed Object,No Pedestrian Involved,NORTHERN,8,22107,2022-05-21 22:06:00,"RICHMOND PKWY AND HILLTOP DR, RICHMOND, CA",37.987184,-122.339643,0.99,intersection,San Pablo,CA,Contra Costa County,94806
2022-0004195,2022-05-22,00:31:00,22ND ST,BARRETT AVE,Sunday,,Improper Turning,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22107,2022-05-22 00:31:00,"22ND ST AND BARRETT AVE, RICHMOND, CA",37.938468,-122.348544,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004202,2022-05-22,07:14:00,S 23RD ST,CUTTING BLVD,Sunday,,Unknown,No,Not Stated,Other Motor Vehicle,Not Stated,SOUTHERN,2,,2022-05-22 07:14:00,"S 23RD ST AND CUTTING BLVD, RICHMOND, CA",37.925193,-122.347665,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004211,2022-05-22,13:49:00,5TH ST,BISSELL AVE,Sunday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22450(a),2022-05-22 13:49:00,"5TH ST AND BISSELL AVE, RICHMOND, CA",37.934066,-122.364707,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004213,2022-05-22,14:05:00,6TH ST,RIPLEY AVE,Sunday,,Unsafe Lane Change,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,5,21658(a),2022-05-22 14:05:00,"6TH ST AND RIPLEY AVE, RICHMOND, CA",37.940357,-122.363419,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004227,2022-05-22,15:00:00,RICHMOND PKWY,W GERTRUDE AVE,Sunday,,Unsafe Speed,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,22350,2022-05-22 15:00:00,"RICHMOND PKWY AND W GERTRUDE AVE, RICHMOND, CA",37.954051,-122.373572,0.99,intersection,Richmond,CA,Contra Costa County,94801
2022-0004237,2022-05-23,19:11:00,HILLTOP DR,I-80 E,Monday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,9,21453(a),2022-05-23 19:11:00,"HILLTOP DR AND I-80 E, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0004244,2022-05-24,08:35:00,VALLEY VIEW RD,MAY RD,Tuesday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,9,21806(a),2022-05-24 08:35:00,"VALLEY VIEW RD AND MAY RD, RICHMOND, CA",37.972123,-122.288552,0.8,intersection,El Sobrante,CA,Contra Costa County,94803
2022-0004252,2022-05-24,11:30:00,23RD ST,BARRETT AVE,Tuesday,,Ped R/W Violation,No,Other,Bicycle,No Pedestrian Involved,CENTRAL,4,21950(a),2022-05-24 11:30:00,"23RD ST AND BARRETT AVE, RICHMOND, CA",37.938468,-122.347523,0.91,intersection,Richmond,CA,Contra Costa County,94804
2022-0004279,2022-05-25,06:36:00,30TH ST,ESMOND AVE,Wednesday,,Unknown,No,Head-On,Parked Motor Vehicle,No Pedestrian Involved,,7,,2022-05-25 06:36:00,"30TH ST AND ESMOND AVE, RICHMOND, CA",37.94516,-122.338025,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004290,2022-05-25,11:14:00,RICHMOND PKWY,BLUME DR,Wednesday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21453(a),2022-05-25 11:14:00,"RICHMOND PKWY AND BLUME DR, RICHMOND, CA",37.951925,-122.372722,0.6,street_center,Richmond,CA,Contra Costa County,94801
2022-0004296,2022-05-25,15:07:00,S 12TH ST,MAINE AVE,Wednesday,,Unsafe Speed,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,22350,2022-05-25 15:07:00,"S 12TH ST AND MAINE AVE, RICHMOND, CA",37.928007,-122.358015,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004309,2022-05-25,19:48:00,ROOSEVELT AVE,19TH ST,Wednesday,,Traffic Signals and Signs,No,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22450(a),2022-05-25 19:48:00,"ROOSEVELT AVE AND 19TH ST, RICHMOND, CA",37.939968,-122.351498,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004315,2022-05-26,08:34:00,ROOSEVELT AVE,23RD ST,Thursday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,7,21453(a),2022-05-26 08:34:00,"ROOSEVELT AVE AND 23RD ST, RICHMOND, CA",37.939983,-122.347509,0.87,intersection,Richmond,CA,Contra Costa County,94804
2022-0004318,2022-05-26,09:38:00,CARLSON BLVD,POTRERO AVE,Thursday,,Driving Under Influence,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,1,23152f,2022-05-26 09:38:00,"CARLSON BLVD AND POTRERO AVE, RICHMOND, CA",37.920417,-122.331635,0.95,intersection,Richmond,CA,Contra Costa County,94804
2022-0004323,2022-05-26,12:15:00,BARRETT AVE,22ND ST,Thursday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21453(a),2022-05-26 12:15:00,"BARRETT AVE AND 22ND ST, RICHMOND, CA",37.938468,-122.348544,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004325,2022-05-25,09:00:00,W RICHMOND AVE,SANTA FE AVE,Wednesday,,Improper Turning,Misdemeanor,Head-On,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,22107,2022-05-25 09:00:00,"W RICHMOND AVE AND SANTA FE AVE, RICHMOND, CA",37.92682,-122.386584,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004333,2022-05-27,17:50:00,BAYVIEW AVE,S 57TH ST,Friday,,Driving Under Influence,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,23152(b),2022-05-27 17:50:00,"BAYVIEW AVE AND S 57TH ST, RICHMOND, CA",37.915613,-122.315305,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004338,2022-05-26,18:23:00,MARINA BAY PKWY,MEEKER AVE,Thursday,,Driving Under Influence,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,1,23153 (b),2022-05-26 18:23:00,"MARINA BAY PKWY AND MEEKER AVE, RICHMOND, CA",37.920425,-122.347192,0.95,intersection,Richmond,CA,Contra Costa County,94804
2022-0004354,2022-05-27,15:15:00,CHANSLOR AVE,15TH ST,Friday,,Unsafe Speed,Misdemeanor,Broadside,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22350,2022-05-27 15:15:00,"CHANSLOR AVE AND 15TH ST, RICHMOND, CA",37.93247,-122.355213,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004369,2022-05-28,07:33:00,CUTTING BLVD,S 49TH ST,Saturday,,Other Improper Driving,No,Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,SOUTHERN,3,,2022-05-28 07:33:00,"CUTTING BLVD AND S 49TH ST, RICHMOND, CA",37.925491,-122.32358,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004372,2022-05-28,06:00:00,HAWK RIDGE DR,PARK RIDGE DR,Saturday,,Auto R/W Violation,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,NORTHERN,8,21804(a),2022-05-28 06:00:00,"HAWK RIDGE DR AND PARK RIDGE DR, RICHMOND, CA",37.947523,-122.384032,0.5,place,Richmond,CA,Contra Costa County,94801
2022-0004376,2022-05-27,15:15:00,15TH ST,BISSELL AVE,Friday,,Unsafe Speed,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22350,2022-05-27 15:15:00,"15TH ST AND BISSELL AVE, RICHMOND, CA",37.934078,-122.355211,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004380,2022-05-28,14:39:00,24TH ST,MACDONALD AVE,Saturday,,Traffic Signals and Signs,Felony,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22450(a),2022-05-28 14:39:00,"24TH ST AND MACDONALD AVE, RICHMOND, CA",37.935566,-122.346346,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004383,2022-05-28,18:02:00,PENNSYLVANIA AVE,17TH ST,Saturday,,Unsafe Lane Change,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21658(a),2022-05-28 18:02:00,"PENNSYLVANIA AVE AND 17TH ST, RICHMOND, CA",37.942102,-122.353808,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004387,2022-05-28,22:03:00,17TH ST,ROOSEVELT AVE,Saturday,,Improper Turning,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,4,22107,2022-05-28 22:03:00,"17TH ST AND ROOSEVELT AVE, RICHMOND, CA",37.939968,-122.353469,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004407,2022-05-30,21:50:00,29TH ST,MCBRYDE AVE,Monday,,Traffic Signals and Signs,Misdemeanor,Broadside,Other Motor Vehicle,No Pedestrian Involved,,7,22450(a),2022-05-30 21:50:00,"29TH ST AND MCBRYDE AVE, RICHMOND, CA",37.947061,-122.338808,0.8,intersection,Richmond,CA,Contra Costa County,94804
2022-0004424,2022-05-30,15:22:00,CUTTING BLVD,I-80 W,Monday,,Unsafe Speed,No,Hit Object,Fixed Object,No Pedestrian Involved,SOUTHERN,3,22350,2022-05-30 15:22:00,"CUTTING BLVD AND I-80 W, RICHMOND, CA",37.925085,-122.320819,0.78,intersection,El Cerrito,CA,Contra Costa County,94530
2022-0004426,2022-05-30,13:53:00,LINCOLN AVE,20TH ST,Monday,,Other Hazardous Movement,Misdemeanor,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21658(b),2022-05-30 13:53:00,"LINCOLN AVE AND 20TH ST, RICHMOND, CA",37.945982,-122.35015,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004427,2022-05-30,16:45:00,S 23RD ST,CUTTING BLVD,Monday,,Following Too Closely,Misdemeanor,Rear-End,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,2,21703,2022-05-30 16:45:00,"S 23RD ST AND CUTTING BLVD, RICHMOND, CA",37.925193,-122.347665,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004428,2022-05-30,17:00:00,MACDONALD AVE,MARINA WAY,Monday,,,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,,6,21453 VC,2022-05-30 17:00:00,"MACDONALD AVE AND MARINA WAY, RICHMOND, CA",37.935707,-122.356191,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004453,2022-05-31,11:00:00,POTRERO AVE,RICHMOND ST,Tuesday,,Unsafe Lane Change,No,Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,SOUTHERN,32,21658(a),2022-05-31 11:00:00,"POTRERO AVE AND RICHMOND ST, RICHMOND, CA",37.92224,-122.31094,1.0,intersection,El Cerrito,CA,Contra Costa County,94530
2022-0004463,2022-05-31,16:50:00,SAN PABLO AVE,SOLANO AVE,Tuesday,,Unsafe Speed,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22350,2022-05-31 16:50:00,"SAN PABLO AVE AND SOLANO AVE, RICHMOND, CA",37.941971,-122.328213,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0004477,2022-05-31,23:21:00,BISSELL AVE,15TH ST,Tuesday,,Traffic Signals and Signs,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,6,22450(a),2022-05-31 23:21:00,"BISSELL AVE AND 15TH ST, RICHMOND, CA",37.934078,-122.355211,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004500,2022-06-01,18:15:00,MACDONALD AVE,25TH ST,Wednesday,,Improper Turning,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,7,22107,2022-06-01 18:15:00,"MACDONALD AVE AND 25TH ST, RICHMOND, CA",37.935434,-122.345444,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004507,2022-06-02,01:48:00,22ND ST,BISSELL AVE,Thursday,,Driving Under Influence,No,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,4,23152(a),2022-06-02 01:48:00,"22ND ST AND BISSELL AVE, RICHMOND, CA",37.934129,-122.348574,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004520,2022-06-02,13:22:00,RICHMOND PKWY,HILLTOP DR,Thursday,,Unknown,No,Not Stated,Not Stated,Not Stated,NORTHERN,8,,2022-06-02 13:22:00,"RICHMOND PKWY AND HILLTOP DR, RICHMOND, CA",37.987184,-122.339643,0.99,intersection,San Pablo,CA,Contra Costa County,94806
2022-0004543,2022-06-03,02:43:00,PENNSYLVANIA AVE,18TH ST,Friday,,Unsafe Lane Change,Misdemeanor,Rear-End,Parked Motor Vehicle,No Pedestrian Involved,CENTRAL,4,21658(a),2022-06-03 02:43:00,"PENNSYLVANIA AVE AND 18TH ST, RICHMOND, CA",37.942104,-122.352074,1.0,intersection,Richmond,CA,Contra Costa County,94801
2022-0004552,2022-06-03,12:14:00,BARRETT AVE,36TH ST,Friday,,Following Too Closely,No,Rear-End,Other Motor Vehicle,No Pedestrian Involved,CENTRAL,7,21703,2022-06-03 12:14:00,"BARRETT AVE AND 36TH ST, RICHMOND, CA",37.936645,-122.334573,1.0,intersection,Richmond,CA,Contra Costa County,94805
2022-0004558,2022-06-03,14:27:00,CARLSON BLVD,PANAMA AVE,Friday,,Auto R/W Violation,No,Broadside,Other Motor Vehicle,No Pedestrian Involved,SOUTHERN,3,21800(a),2022-06-03 14:27:00,"CARLSON BLVD AND PANAMA AVE, RICHMOND, CA",37.907128,-122.308126,1.0,intersection,Richmond,CA,Contra Costa County,94804
2022-0004605,2022-06-05,16:25:00,CASTRO ST,HENSLEY ST,Sunday,,Wrong Side of Road,Misdemeanor,Sideswipe,Other Motor Vehicle,No Pedestrian Involved,NORTHERN,1,21651(b),2022-06-05 16:25:00,"CASTRO ST AND HENSLEY ST, RICHMOND, CA",37.946959,-122.371685,0.74,intersection,Richmond,CA,Contra Costa County,94801
